trading_day,ticker,p_positive_mean,p_negative_mean,p_neutral_mean,net_sentiment,sentiment_volume,sentiment_momentum,sentiment_dispersion
2024-06-13,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,-0.4706100979848702,-0.05472767468992459,-0.39002892
2024-06-14,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,0.0,-0.05472767468992459,-0.39002892
2024-06-17,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,0.0,-0.05472767468992459,-0.39002892
2024-06-18,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,0.0,-0.05472767468992459,-0.39002892
2024-06-19,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,0.0,-0.05472767468992459,-0.39002892
2024-06-20,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,0.0,-0.05472767468992459,-0.39002892
2024-06-21,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,0.0,-0.05472767468992459,-0.39002892
2024-06-24,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,0.0,-0.05472767468992459,-0.39002892
2024-06-25,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,0.0,-0.05472767468992459,-0.39002892
2024-06-26,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,0.0,-0.05472767468992459,-0.39002892
2024-06-27,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,0.0,-0.05472767468992459,-0.39002892
2024-06-28,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,0.0,-0.05472767468992459,-0.39002892
2024-07-01,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,0.0,-0.05472767468992459,-0.39002892
2024-07-02,COP,-0.78661186,-0.36238733,1.0114411,-0.23413451,0.0,-0.05472767468992459,-0.39002892
2024-07-03,COP,-0.7847092,0.6787871,0.053034693,-0.8815334,-0.4706100979848702,-0.6198711786904504,-0.39002892
2024-07-04,COP,-0.7847092,0.6787871,0.053034693,-0.8815334,0.0,-0.6198711786904504,-0.39002892
2024-07-05,COP,-0.7847092,0.6787871,0.053034693,-0.8815334,0.0,-0.6198711786904504,-0.39002892
2024-07-08,COP,-0.7847092,0.6787871,0.053034693,-0.8815334,0.0,-0.6198711786904504,-0.39002892
2024-07-09,COP,-0.7847092,0.6787871,0.053034693,-0.8815334,0.0,-0.6198711786904504,-0.39002892
2024-07-10,COP,-0.7847092,0.6787871,0.053034693,-0.8815334,0.0,-0.6198711786904504,-0.39002892
2024-07-11,COP,-0.7847092,0.6787871,0.053034693,-0.8815334,0.0,-0.6198711786904504,-0.39002892
2024-07-12,COP,-0.014761426,-0.6221055,0.5844022,0.37885824,0.7304892985561122,-0.3037381378447616,1.2384388
2024-07-15,COP,-0.5802275,-0.62609464,1.0757684,0.050771784,-0.4706100979848702,0.6426821082713197,-0.39002892
2024-07-16,COP,-0.8324457,1.9148675,-1.0416639,-1.6793513,-0.4706100979848702,-0.4187791300672511,-0.39002892
2024-07-17,COP,-0.6023674,-0.64259297,1.1100242,0.048104998,-0.4706100979848702,-0.8194778177658614,-0.39002892
2024-07-18,COP,-0.6023674,-0.64259297,1.1100242,0.048104998,0.0,-0.8194778177658614,-0.39002892
2024-07-19,COP,-0.6023674,-0.64259297,1.1100242,0.048104998,0.0,-0.8194778177658614,-0.39002892
2024-07-22,COP,-0.6023674,-0.64259297,1.1100242,0.048104998,0.0,-0.8194778177658614,-0.39002892
2024-07-23,COP,-0.6023674,-0.64259297,1.1100242,0.048104998,0.0,-0.8194778177658614,-0.39002892
2024-07-24,COP,-0.6023674,-0.64259297,1.1100242,0.048104998,0.0,-0.8194778177658614,-0.39002892
2024-07-25,COP,-0.6023674,-0.64259297,1.1100242,0.048104998,0.0,-0.8194778177658614,-0.39002892
